Entity,Category,Popularity_Tier,Model,RQ1_Predicted_Type,RQ1_Type_Match,RQ2_Feature_Present,RQ3_Description,RQ3_Propositions,RQ3_Hallucinations_Count,RQ3_Details,RQ3_Ground_Truth_Source
Parthenon,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"An ancient stone temple with numerous fluted columns and a partially collapsed roof, situated on a rocky plateau under a clear blue sky.","[""The structure is made of light-colored stone"", ""There are multiple vertical fluted columns"", ""The roof is partially missing"", ""The building sits on a stepped stone base"", ""There are scattered stone fragments in the foreground"", ""The sky is clear and blue"", ""The building features a classical architectural style""]",0,None,wikipedia
Chichen Itza,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"A large, ancient stone stepped pyramid with a central staircase leading to a structure at the top, situated in an open plaza with several people.","[""The structure is a stepped pyramid made of stone"", ""There is a wide central staircase ascending the pyramid"", ""A rectangular building sits atop the pyramid"", ""Several people are standing at the base of the pyramid"", ""The foreground consists of a flat, sandy area with embedded stones"", ""The sky is clear and blue"", ""The structure is symmetrical""]",0,None,wikipedia
Machu Picchu,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"An ancient stone city with terraced fields situated on a mountain ridge, with a large peak in the background.","[""There are stone structures with rectangular layouts"", ""The site features green grassy terraces"", ""A large, steep mountain peak rises behind the ruins"", ""The structures are made of grey stone"", ""There are small human figures walking among the ruins"", ""The background shows distant mountains under a cloudy sky""]",0,None,wikipedia
Stonehenge,Famous Landmarks & Architecture,,scads_flux2_dev,Object,False,True,"A prehistoric stone circle consisting of large vertical megaliths topped by horizontal lintels, situated on a grassy plain under a cloudy sky.","[""There are large vertical stones"", ""Some vertical stones are topped with horizontal stones"", ""The stones are grey and textured"", ""The ground is covered in green grass"", ""The sky is overcast with grey and white clouds"", ""There are several fallen stone fragments on the ground"", ""Small human figures are visible in the distance between the stones""]",0,None,wikipedia
Neuschwanstein,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"A large, ornate white castle with multiple towers and spires situated on a rocky cliff surrounded by evergreen trees and mountains.","[""The building is primarily white"", ""There are multiple pointed towers and spires"", ""The building is situated on a rocky cliff"", ""There are green evergreen trees in the foreground"", ""There are blue-toned mountains in the background"", ""The sky is clear and light blue"", ""The building has numerous small windows""]",0,None,wikipedia
Petra,Famous Landmarks & Architecture,,scads_flux2_dev,Landscape,False,False,"A deep canyon with towering red sandstone cliffs under a soft, twilight sky.","[""The image shows a canyon with red rock walls"", ""The cliffs have vertical striations"", ""The tops of the distant cliffs are illuminated by warm light"", ""There is a dry, sandy path winding through the canyon floor"", ""Small green shrubs are scattered across the landscape"", ""The sky is blue with light clouds"", ""The foreground contains jagged red rocks""]",0,None,wikipedia
Borobudur,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"A large, bell-shaped stone stupa surrounded by smaller stone structures and a few people on a paved plaza.","[""There is a large central stone stupa"", ""The stupa is bell-shaped"", ""There are smaller stone carvings and structures surrounding the main stupa"", ""Three people are visible in the foreground"", ""The ground is paved with stone tiles"", ""Mountains are visible in the distant background"", ""The sky is clear and light-colored""]",0,None,wikipedia
Acropolis,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,An ancient Greek temple with Doric columns situated atop a rocky hill.,"[""The building is constructed from light-colored stone"", ""There are numerous vertical columns supporting a roof structure"", ""The structure is partially ruined with missing sections of the roof and walls"", ""The building is situated on a high rocky plateau"", ""There are stone ruins and debris in the foreground"", ""The sky is clear and light blue"", ""Small human figures are visible on the plateau near the building"", ""Scaffolding is present in some sections of the structure""]",0,None,wikipedia
Alhambra,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,"A large, ancient stone fortress complex with towers and battlements, viewed from a stone bridge with people walking on it, surrounded by cypress trees and mountains in the background.","[""There is a large stone fortress with multiple towers"", ""Four people are walking on a stone bridge in the foreground"", ""There are tall, slender cypress trees flanking the scene"", ""Mountains are visible in the far background"", ""The sky is clear and blue"", ""The lighting suggests early morning or late afternoon"", ""The fortress walls are made of light-brown stone"", ""There are pink flowers blooming on the right side of the bridge""]",0,None,wikipedia
Colosseum,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"A large, ancient stone and brick amphitheater with multiple tiers of arches, partially ruined.","[""The structure is made of stone and reddish-brown brick"", ""There are multiple rows of arched openings"", ""The building is partially collapsed or ruined"", ""Small human figures are visible on an upper ledge"", ""The sky in the background is clear and blue"", ""The lighting suggests a golden hour or sunset effect""]",0,None,wikipedia
Guggenheim,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,"A large, white, spiral-shaped concrete building located on a city street with pedestrians and traffic signals.","[""The building has a white exterior"", ""The building has a spiral or cylindrical shape"", ""There are horizontal bands of windows wrapping around the structure"", ""People are walking on the sidewalk in front of the building"", ""There are traffic lights and street signs present"", ""The sky is clear and blue"", ""The building is located in an urban environment"", ""There is text visible on the lower facade of the building""]",0,None,wikipedia
